Nota,Lucro,Unidades,Data
38894,12276.29,921,4/1/2018 0:00
38101,14071.96,936,4/2/2018 0:00
37388,13457.3,882,4/3/2018 0:00
40570,12834.28,909,4/4/2018 0:00
37223,13734.45,895,4/5/2018 0:00
39435,12986.59,897,4/6/2018 0:00
39433,13003.14,892,4/7/2018 0:00
40386,13272.05,932,4/8/2018 0:00
38604,12606.85,867,4/9/2018 0:00
38379,13145.52,906,4/10/2018 0:00
39230,13062.27,928,4/11/2018 0:00
39884,13802.16,947,4/12/2018 0:00
38841,13061.31,897,4/13/2018 0:00
40148,13164.95,911,4/14/2018 0:00
37399,13195.76,922,4/15/2018 0:00
39402,13013.85,913,4/16/2018 0:00
36336,12544.2,915,4/17/2018 0:00
41214,13751.02,924,4/18/2018 0:00
39821,12734.52,887,4/19/2018 0:00
38027,13638.53,945,4/20/2018 0:00
40579,13077.9,877,4/21/2018 0:00
38099,13744.92,958,4/22/2018 0:00
38634,12984.4,929,4/23/2018 0:00
39509,13016.76,894,4/24/2018 0:00
37829,13306.21,932,4/25/2018 0:00
38192,13549.81,874,4/26/2018 0:00
39048,12940.92,884,4/27/2018 0:00
40675,13560.14,928,4/28/2018 0:00
38244,12511.89,903,4/29/2018 0:00
39058,13113.13,871,4/30/2018 0:00
