Nota,Lucro,Unidades,Data
30915,10629.97,778,2/1/2018 0:00
30321,10440.84,768,2/2/2018 0:00
30939,10581.4,778,2/3/2018 0:00
30948,10630.64,781,2/4/2018 0:00
31586,10854.06,790,2/5/2018 0:00
30020,10360.79,760,2/6/2018 0:00
31040,10769.9,783,2/7/2018 0:00
31892,10928.02,796,2/8/2018 0:00
30901,10752.56,775,2/9/2018 0:00
31648,10861.47,795,2/10/2018 0:00
30815,10546.77,780,2/11/2018 0:00
30774,10595.01,778,2/12/2018 0:00
31043,10802.95,785,2/13/2018 0:00
31176,10766.43,789,2/14/2018 0:00
31891,11006.45,801,2/15/2018 0:00
31180,10804.81,776,2/16/2018 0:00
31446,10753.3,789,2/17/2018 0:00
30671,10595.56,775,2/18/2018 0:00
31262,10719.18,791,2/19/2018 0:00
31755,10962.33,792,2/20/2018 0:00
31496,10813.18,789,2/21/2018 0:00
30651,10627.84,767,2/22/2018 0:00
32008,10963.72,795,2/23/2018 0:00
31342,10835.49,793,2/24/2018 0:00
30728,10642,775,2/25/2018 0:00
31181,10805.95,784,2/26/2018 0:00
31931,11097.19,790,2/27/2018 0:00
31308,10780.12,789,2/28/2018 0:00
