Nota,Lucro,Unidades,Data
29176,10310.77,731,1/1/2018 0:00
29531,10077.55,734,1/2/2018 0:00
29422,10212.16,730,1/3/2018 0:00
28894,10225.09,723,1/4/2018 0:00
29830,10295.18,736,1/5/2018 0:00
29196,10068.72,725,1/6/2018 0:00
29028,10216.83,725,1/7/2018 0:00
29115,10078.65,723,1/8/2018 0:00
29160,10153.4,727,1/9/2018 0:00
29358,10197.59,731,1/10/2018 0:00
28968,10244.17,724,1/11/2018 0:00
29251,10329.24,727,1/12/2018 0:00
29725,10392.86,733,1/13/2018 0:00
29327,10207.71,730,1/14/2018 0:00
29754,10313.18,731,1/15/2018 0:00
29621,10116.72,730,1/16/2018 0:00
28865,10235.2,721,1/17/2018 0:00
29259,10258.99,725,1/18/2018 0:00
29439,10056.99,735,1/19/2018 0:00
29418,10392.18,729,1/20/2018 0:00
28994,10231.36,724,1/21/2018 0:00
29343,10131.01,730,1/22/2018 0:00
28996,10171.26,725,1/23/2018 0:00
29167,10194.41,724,1/24/2018 0:00
29311,10272.65,727,1/25/2018 0:00
29623,10100.85,733,1/26/2018 0:00
29753,10131.64,734,1/27/2018 0:00
29798,10307.01,735,1/28/2018 0:00
29232,10164.98,723,1/29/2018 0:00
29814,10351.38,739,1/30/2018 0:00
29382,10196.53,730,1/31/2018 0:00
