Nota,Lucro,Unidades,Data
42491,12815.56,913,6/1/2018 0:00
37361,12959.84,968,6/2/2018 0:00
41059,14628.47,994,6/3/2018 0:00
37578,14088.39,884,6/4/2018 0:00
41374,12668.82,952,6/5/2018 0:00
37842,14060.87,866,6/6/2018 0:00
39832,12775.14,950,6/7/2018 0:00
39937,14046.6,867,6/8/2018 0:00
38265,13018.93,929,6/9/2018 0:00
38318,13629.34,935,6/10/2018 0:00
37790,13373.25,912,6/11/2018 0:00
37812,12909.42,927,6/12/2018 0:00
39380,12621.04,904,6/13/2018 0:00
39849,12645.13,878,6/14/2018 0:00
38779,12800.29,916,6/15/2018 0:00
41860,13266.74,941,6/16/2018 0:00
40497,13268.21,885,6/17/2018 0:00
40952,13394.09,950,6/18/2018 0:00
38622,14440.05,927,6/19/2018 0:00
38903,13551.59,953,6/20/2018 0:00
41073,13891.09,915,6/21/2018 0:00
40127,12714.29,912,6/22/2018 0:00
40408,12776.27,978,6/23/2018 0:00
41016,13627.05,920,6/24/2018 0:00
39655,14021.14,953,6/25/2018 0:00
38868,13785.92,940,6/26/2018 0:00
39581,13917.31,927,6/27/2018 0:00
37855,13494.91,897,6/28/2018 0:00
39270,13176.98,904,6/29/2018 0:00
41566,13524.75,885,6/30/2018 0:00
