Nota,Lucro,Unidades,Data
37441,12366.3,914,5/1/2018 0:00
36206,13429.03,867,5/2/2018 0:00
40075,12227.71,872,5/3/2018 0:00
35672,12137.89,887,5/4/2018 0:00
35512,12208.81,939,5/5/2018 0:00
36605,13245.53,903,5/6/2018 0:00
38721,12798.53,931,5/7/2018 0:00
37268,12842.19,910,5/8/2018 0:00
37325,12166.12,873,5/9/2018 0:00
37128,14204.65,923,5/10/2018 0:00
41057,12831.12,881,5/11/2018 0:00
38371,13676.7,910,5/12/2018 0:00
39874,13122.18,897,5/13/2018 0:00
38994,12746.66,870,5/14/2018 0:00
37910,13552.2,875,5/15/2018 0:00
40127,12942.35,880,5/16/2018 0:00
38166,13367.41,893,5/17/2018 0:00
39381,13273.69,879,5/18/2018 0:00
39065,12842.51,884,5/19/2018 0:00
37221,13088.66,941,5/20/2018 0:00
37489,12925.19,879,5/21/2018 0:00
38531,12439.29,888,5/22/2018 0:00
38297,13701.17,836,5/23/2018 0:00
37089,12805.44,956,5/24/2018 0:00
40601,12836.56,856,5/25/2018 0:00
37777,11821.22,911,5/26/2018 0:00
38027,13786.62,883,5/27/2018 0:00
35877,12422.47,856,5/28/2018 0:00
40793,13278.95,930,5/29/2018 0:00
36733,12562.86,844,5/30/2018 0:00
39136,12526.22,841,5/31/2018 0:00
