Nota,Lucro,Unidades,Data
37237,12642.36,875,3/1/2018 0:00
36904,12491.24,858,3/2/2018 0:00
34330,11577.26,823,3/3/2018 0:00
35924,12153.23,856,3/4/2018 0:00
35466,12013.73,843,3/5/2018 0:00
35591,12023.14,858,3/6/2018 0:00
35126,12037.92,844,3/7/2018 0:00
39423,13234.09,923,3/8/2018 0:00
37046,12650.75,866,3/9/2018 0:00
34559,11791.31,831,3/10/2018 0:00
35707,12288.59,839,3/11/2018 0:00
35996,12301.88,845,3/12/2018 0:00
37225,12445.42,874,3/13/2018 0:00
34989,11836.65,826,3/14/2018 0:00
37969,12891.76,897,3/15/2018 0:00
37489,12667.39,860,3/16/2018 0:00
35970,12221.86,831,3/17/2018 0:00
35852,12251.38,856,3/18/2018 0:00
36914,12539.71,855,3/19/2018 0:00
38190,12992.63,879,3/20/2018 0:00
36182,12259.84,872,3/21/2018 0:00
37504,12536.1,868,3/22/2018 0:00
35580,12194.45,841,3/23/2018 0:00
35564,11892.01,857,3/24/2018 0:00
35671,12101.17,849,3/25/2018 0:00
36956,12374.48,866,3/26/2018 0:00
38761,13253.66,910,3/27/2018 0:00
36326,12111.28,860,3/28/2018 0:00
38301,13035.48,896,3/29/2018 0:00
34335,11698.39,809,3/30/2018 0:00
38749,13140.76,896,3/31/2018 0:00
