Nota,Lucro,Unidades,Data
73119,24613.09,1848,8/1/2018 0:00
67810,26581.69,1675,8/2/2018 0:00
73421,27373.01,1763,8/3/2018 0:00
63512,23700.03,1791,8/4/2018 0:00
78128,22007.88,1611,8/5/2018 0:00
76392,24621.59,1522,8/6/2018 0:00
79904,20750.78,1612,8/7/2018 0:00
71548,25036.29,1465,8/8/2018 0:00
65352,25600.98,1779,8/9/2018 0:00
71244,25435.92,1642,8/10/2018 0:00
78063,23405.14,1784,8/11/2018 0:00
67060,21527.45,1601,8/12/2018 0:00
75001,22526.87,1479,8/13/2018 0:00
85136,25501.49,1580,8/14/2018 0:00
68773,21611.6,1699,8/15/2018 0:00
83388,25983.33,1520,8/16/2018 0:00
75929,27128.89,1634,8/17/2018 0:00
85320,22997.01,1934,8/18/2018 0:00
78177,27546.66,1493,8/19/2018 0:00
61844,24684.1,1837,8/20/2018 0:00
76013,29336.66,1670,8/21/2018 0:00
72586,25760.09,1795,8/22/2018 0:00
79160,19960.42,1737,8/23/2018 0:00
67178,25623.57,1420,8/24/2018 0:00
67621,23811.61,1640,8/25/2018 0:00
76360,25113.5,1641,8/26/2018 0:00
68720,21217.41,1762,8/27/2018 0:00
84446,22213.04,1467,8/28/2018 0:00
77048,24739.88,1486,8/29/2018 0:00
81024,22623.66,1707,8/30/2018 0:00
82068,27880.31,1527,8/31/2018 0:00
