Nota,Lucro,Unidades,Data
85113,27504.86,1762,12/1/2018 0:00
83082,26993.17,1825,12/2/2018 0:00
87708,29257.57,1872,12/3/2018 0:00
80128,25673.13,1751,12/4/2018 0:00
77786,24967.48,1698,12/5/2018 0:00
82032,27333.84,1729,12/6/2018 0:00
90159,30049.31,1900,12/7/2018 0:00
80662,26410.86,1793,12/8/2018 0:00
82648,26362.35,1782,12/9/2018 0:00
88210,28069.21,1925,12/10/2018 0:00
76633,24120.74,1713,12/11/2018 0:00
84143,27631.97,1802,12/12/2018 0:00
87630,28505.35,1849,12/13/2018 0:00
87961,30358.22,1967,12/14/2018 0:00
81001,25166.45,1763,12/15/2018 0:00
83025,25397.01,1841,12/16/2018 0:00
90903,29504.88,1948,12/17/2018 0:00
76732,25189.93,1668,12/18/2018 0:00
82377,27407.26,1774,12/19/2018 0:00
97476,32100.53,2111,12/20/2018 0:00
87548,28386.62,1914,12/21/2018 0:00
78895,26559.82,1650,12/22/2018 0:00
89622,28236.62,1924,12/23/2018 0:00
93177,30471.11,1950,12/24/2018 0:00
93550,30458.49,2076,12/25/2018 0:00
82892,26740.97,1801,12/26/2018 0:00
94461,30681.61,2023,12/27/2018 0:00
84242,27517.03,1953,12/28/2018 0:00
88094,28572.59,1935,12/29/2018 0:00
93087,29425.12,2012,12/30/2018 0:00
95645,31624.59,2046,12/31/2018 0:00
