Nota,Lucro,Unidades,Data
61636,20373.9,1434,7/1/2018 0:00
57090,19756.9,1350,7/2/2018 0:00
60140,24031.06,1450,7/3/2018 0:00
61700,22888.9,1440,7/4/2018 0:00
60923,19122.76,1380,7/5/2018 0:00
62307,20950.9,1439,7/6/2018 0:00
66549,19910.62,1300,7/7/2018 0:00
54885,21043.04,1332,7/8/2018 0:00
65416,21157.02,1379,7/9/2018 0:00
68038,19633.34,1414,7/10/2018 0:00
62012,21415.79,1368,7/11/2018 0:00
56894,19221.28,1307,7/12/2018 0:00
58165,18803.4,1324,7/13/2018 0:00
65739,20169.91,1419,7/14/2018 0:00
61685,20771.28,1373,7/15/2018 0:00
60792,20176.86,1400,7/16/2018 0:00
61054,18385.68,1469,7/17/2018 0:00
62134,20213.09,1247,7/18/2018 0:00
70450,20418.19,1449,7/19/2018 0:00
68616,20593.66,1461,7/20/2018 0:00
58417,20256.51,1342,7/21/2018 0:00
63424,21660.68,1269,7/22/2018 0:00
61876,18214.23,1303,7/23/2018 0:00
63864,22331.37,1479,7/24/2018 0:00
63942,22334.07,1376,7/25/2018 0:00
60908,20551.2,1339,7/26/2018 0:00
63188,18667.71,1345,7/27/2018 0:00
58738,18682.58,1369,7/28/2018 0:00
57894,21786.13,1546,7/29/2018 0:00
60886,20005.8,1496,7/30/2018 0:00
64342,20761.26,1252,7/31/2018 0:00
