Nota,Lucro,Unidades,Data
40703,13157.92,964,11/1/2018 0:00
40387,13575.23,891,11/2/2018 0:00
39766,13912.29,971,11/3/2018 0:00
39963,13477.62,929,11/4/2018 0:00
39159,13281.81,849,11/5/2018 0:00
40752,13081.29,900,11/6/2018 0:00
40292,13818.56,935,11/7/2018 0:00
42098,13937.66,921,11/8/2018 0:00
40601,14313.75,914,11/9/2018 0:00
41281,13914.01,905,11/10/2018 0:00
40336,13808.37,904,11/11/2018 0:00
43237,13693.16,906,11/12/2018 0:00
42101,14911.44,932,11/13/2018 0:00
41505,14267.96,953,11/14/2018 0:00
40536,14067.85,920,11/15/2018 0:00
41601,13977.87,943,11/16/2018 0:00
39101,13647.71,923,11/17/2018 0:00
43241,13371.17,942,11/18/2018 0:00
41158,14593.83,946,11/19/2018 0:00
42536,13755,937,11/20/2018 0:00
42463,14314.11,922,11/21/2018 0:00
37653,14041.71,937,11/22/2018 0:00
40046,13174.42,972,11/23/2018 0:00
43729,13441.24,963,11/24/2018 0:00
43282,14922.65,836,11/25/2018 0:00
40668,15177.29,919,11/26/2018 0:00
41078,13904.6,985,11/27/2018 0:00
40145,13563.83,952,11/28/2018 0:00
37349,13615.62,941,11/29/2018 0:00
39469,12805.53,916,11/30/2018 0:00
