Nota,Lucro,Unidades,Data
36879,12587.44,912,10/1/2018 0:00
38759,13137.18,885,10/2/2018 0:00
39665,13716.23,908,10/3/2018 0:00
39787,13762.36,865,10/4/2018 0:00
36679,12354.21,847,10/5/2018 0:00
36417,12171.06,897,10/6/2018 0:00
36699,12389.67,908,10/7/2018 0:00
40313,13531.15,904,10/8/2018 0:00
37654,12665.17,844,10/9/2018 0:00
37893,12930.12,851,10/10/2018 0:00
40627,13632.51,860,10/11/2018 0:00
35445,12042.61,915,10/12/2018 0:00
40604,13720.43,867,10/13/2018 0:00
40481,13617.22,871,10/14/2018 0:00
38632,12698.65,929,10/15/2018 0:00
39048,13524.78,831,10/16/2018 0:00
37028,12471.17,929,10/17/2018 0:00
39336,13229.55,925,10/18/2018 0:00
37949,12765.93,892,10/19/2018 0:00
40992,13738.34,897,10/20/2018 0:00
38004,12746.41,861,10/21/2018 0:00
39949,13323.33,913,10/22/2018 0:00
40202,13834.89,873,10/23/2018 0:00
40935,13979.18,917,10/24/2018 0:00
39921,13433.77,881,10/25/2018 0:00
41811,13661.18,896,10/26/2018 0:00
39476,13219.81,925,10/27/2018 0:00
40211,13844.59,930,10/28/2018 0:00
38847,12988.98,917,10/29/2018 0:00
40437,13764.27,948,10/30/2018 0:00
37377,12542.48,923,10/31/2018 0:00
